出租方式,户型,建筑面积,层数,低层,中层,中高层,高层,超高层,楼,朝向,装修,地址,字段9,字段10,字段11,字段12,字段13,字段14,字段15,标题,价格,字段25
整租,2室2厅1卫,94,33,0,0,0,0,1,低,南,豪华装修,兰州市城关区高新路101号,床,电视,冰箱,洗衣机,,热水器,暖气,房源编号 330772891,3600,"雁栖园
                            (城关区/雁滩南)"
整租,3室2厅2卫,135,9,0,1,0,0,0,高,南北,中装修,陈家湾子10-36号,床,电视,,,空调,热水器,,房源编号 331381035,3500,"公路局家属院(陈家湾子)
                            (城关区/东方红广场)"
整租,2室2厅1卫,93,28,0,0,0,1,0,中,南北,中装修,雁滩大桥向东，鸿运润园东侧,,,,,,,,房源编号 321889885,2800,"天庆莱茵小镇
                            (城关区/雁滩北)"
整租,2室1厅1卫,80,28,0,0,0,1,0,高,南,中装修,兰州市安宁区北滨河西路260号,床,电视,,洗衣机,,,,房源编号 328714275,2000,"永丰嘉园
                            (安宁区/黄河市场)"
整租,1室0厅1卫,38,5,1,0,0,0,0,高,西,中装修,宋家滩99号，雁滩路,床,电视,冰箱,洗衣机,空调,热水器,暖气,房源编号 331289173,2000,"新港城A区
                            (城关区/雁滩北)"
整租,2室1厅1卫,98,34,0,0,0,0,1,低,暂无,中装修,七里河西站柳家营加气站西侧,床,电视,,,空调,热水器,,房源编号 331390295,2600,"天和苑
                            (七里河区/西站)"
整租,2室1厅1卫,60,28,0,0,0,1,0,中,东,精装修,雁西路1119号（工业城对面）,床,电视,,,空调,热水器,,房源编号 331119518,3200,"鑫亿城
                            (城关区/雁滩南)"
整租,2室2厅1卫,46,6,1,0,0,0,0,中,西,中装修,铁路新村东街951至999号,床,电视,冰箱,,,热水器,暖气,房源编号 331128006,1500,"兰铁福苑小区
                            (城关区/火车站)"
整租,2室1厅1卫,60,5,1,0,0,0,0,高,南,简装修,山丹街143-281号,床,电视,冰箱,洗衣机,空调,热水器,,房源编号 330612851,1500,"南山小区
                            (西固区/福利区)"
整租,3室0厅1卫,70,6,1,0,0,0,0,高,暂无,简装修,七里河华坪街道西津东路五号,床,电视,,,,热水器,暖气,房源编号 331474053,1800,"市工会家属院
                            (七里河区/小西湖)"
整租,2室1厅1卫,86,8,1,0,0,0,0,高,东西,中装修,七里河建工局建投一号楼,床,电视,,洗衣机,,热水器,暖气,房源编号 329732285,1900,"建工局
                            (七里河区/小西湖)"
整租,2室1厅1卫,68,30,0,0,0,1,0,低,南,简装修,草场街十字,床,,,,,热水器,暖气,房源编号 329509885,1500,"国税局家属院(草场街十字)
                            (城关区/黄河北)"
整租,2室1厅1卫,70,8,1,0,0,0,0,高,南,中装修,甘肃省兰州市七里河区吴家园西街48-60，七里河吴家,床,电视,,,空调,热水器,,房源编号 331327314,2000,"嘉星小区
                            (七里河区/西站)"
整租,5室2厅3卫,259,3,1,0,0,0,0,高,南北,精装修,城关区青白石街,,电视,,,空调,热水器,,房源编号 331481941,8500,"碧桂园·兰州新城项目
                            (城关区/黄河北)"
整租,1室1厅1卫,65,7,1,0,0,0,0,低,南,中装修,宋家滩99号，雁滩路,,电视,,,,,,房源编号 331477309,2500,"新港城A区
                            (城关区/雁滩北)"
整租,5室2厅3卫,259,3,1,0,0,0,0,高,南北,精装修,城关区青白石街,,电视,,,空调,热水器,,房源编号 321473903,8500,"碧桂园·兰州新城项目
                            (城关区/黄河北)"
整租,2室0厅1卫,48,5,1,0,0,0,0,中,南北,中装修,北滨河路中段洄水湾处1268号（顺风肥牛西侧）,床,电视,,,空调,热水器,暖气,房源编号 331323467,1300,"黄河水岸颐园
                            (安宁区/黄河市场)"
整租,2室1厅1卫,78,7,1,0,0,0,0,中,暂无,中装修,牟家庄321-335号,床,电视,冰箱,洗衣机,,热水器,暖气,房源编号 331372410,1600,"牟家庄东小区
                            (城关区/火车站)"
整租,2室1厅1卫,96,33,0,0,0,0,1,中,南北,精装修,城关区平凉路163号,床,电视,,,空调,热水器,,房源编号 331356856,4200,"建工瑞景
                            (城关区/火车站)"
整租,3室2厅1卫,162,30,0,0,0,1,0,中,南,中装修,民主西路37号,床,电视,,,空调,热水器,,房源编号 331464745,7000,"蓝宝石大厦
                            (城关区/五泉广场)"
整租,3室1厅1卫,122,8,1,0,0,0,0,中,南,中装修,吴家园（距建兰路市场300米）市一医院,床,电视,冰箱,洗衣机,空调,热水器,暖气,房源编号 331478827,2500,"鸿运家园
                            (七里河区/西站)"
整租,2室2厅1卫,90,28,0,0,0,1,0,低,暂无,简装修,和政东街310号，金轮广场附近,床,电视,,,,热水器,暖气,房源编号 331317263,3500,"金轮花园
                            (城关区/五泉广场)"
整租,2室2厅1卫,79,8,1,0,0,0,0,高,暂无,精装修,瓜州路319～333号,床,电视,,,空调,热水器,,房源编号 331151257,2400,"七里河区市政家属院
                            (七里河区/西站)"
整租,2室2厅1卫,113,6,1,0,0,0,0,高,南北,中装修,宝石花路，安宁西路兰州交通大学对面,床,电视,,,空调,热水器,,房源编号 330857036,2000,"安宁科教城
                            (安宁区/费家营)"
整租,2室2厅1卫,58,8,1,0,0,0,0,中,南,中装修,火车站西路1-235号,床,电视,,,空调,热水器,,房源编号 331424391,2300,"居安小区
                            (城关区/五泉广场)"
整租,1室0厅1卫,46,25,0,0,0,1,0,中,南,中装修,火车站广场向西200米,床,电视,,,空调,热水器,,房源编号 331459801,2300,"海天新都
                            (城关区/火车站)"
整租,1室1厅1卫,40,5,1,0,0,0,0,高,南,简装修,南滨河中路691号,床,电视,,,空调,热水器,,房源编号 331385727,1200,"毛条厂家属院
                            (七里河区/小西湖)"
整租,3室2厅2卫,175,15,0,0,1,0,0,高,南,中装修,里河南滨河路月星家居广场以东木器厂旁,,电视,,,,,,房源编号 331481372,5200,"丽景苑
                            (七里河区/西站)"
整租,4室2厅2卫,220,31,0,0,0,1,0,中,南北,中装修,兰州市城关区火车站西路429-445号,床,电视,,,,,,房源编号 327879714,5700,"新华佳苑
                            (城关区/五泉广场)"
整租,1室1厅1卫,43,33,0,0,0,0,1,中,北,精装修,和政路东街189号,床,电视,冰箱,洗衣机,空调,热水器,暖气,房源编号 331433764,3500,"仁恒国际
                            (城关区/火车站)"
整租,2室2厅1卫,100,30,0,0,0,1,0,中,南,简装修,东岗东路1999号(兰新商业广场内瑞德尔超市对面),床,,冰箱,洗衣机,空调,热水器,暖气,房源编号 330708842,3800,"兰新万国港
                            (城关区/东部市场)"
整租,1室1厅1卫,48,6,1,0,0,0,0,低,南,中装修,火车站西路381号,床,电视,,,空调,热水器,,房源编号 331434133,1700,"乘警队小区
                            (城关区/火车站)"
整租,2室1厅1卫,60,7,1,0,0,0,0,高,南,简装修,北滨河路大桥饭店对面,床,电视,冰箱,洗衣机,空调,热水器,暖气,房源编号 331178441,1600,"蓝星机械厂家属院
                            (城关区/黄河北)"
整租,2室1厅1卫,80,10,0,1,0,0,0,低,南,中装修,西站郑家庄，光华街102号,床,电视,,,空调,热水器,暖气,房源编号 331457843,1800,"郑家庄生活小区(西站)
                            (七里河区/西站)"
整租,2室2厅1卫,90,28,0,0,0,1,0,高,东南,中装修,火车站西路5号,床,电视,,洗衣机,,热水器,暖气,房源编号 331433911,2600,"康瑞家园
                            (城关区/火车站)"
整租,2室1厅1卫,50,6,1,0,0,0,0,高,东西,简装修,民主东路93号,床,电视,,,空调,热水器,,房源编号 331193413,2500,"天平街社区
                            (城关区/盘旋路)"
整租,2室2厅1卫,80,8,1,0,0,0,0,高,暂无,中装修,城关区铁路新村东街640-700号,床,电视,冰箱,洗衣机,,热水器,暖气,房源编号 331099220,1800,"新乐住宅小区
                            (城关区/火车站)"
整租,2室1厅1卫,93,34,0,0,0,0,1,中,南北,精装修,建兰路102号,床,电视,,,空调,热水器,,房源编号 331350048,2500,"电力机具厂家属院
                            (七里河区/西站)"
整租,2室2厅1卫,118,24,0,0,0,1,0,中,东南,精装修,雁滩雁兴路116、130、124路车终点(天庆花园东,床,电视,,,空调,热水器,暖气,房源编号 329428294,2800,"基业豪庭
                            (城关区/雁滩北)"
整租,3室2厅1卫,121,33,0,0,0,0,1,中,南北,中装修,安宁科教城宝石花路10号,床,电视,,,空调,热水器,暖气,房源编号 331277475,3000,"金河丽园
                            (安宁区/费家营)"
整租,2室2厅1卫,100,34,0,0,0,0,1,中,东,中装修,金轮广场南侧,床,电视,,,空调,热水器,,房源编号 331276327,3800,"金轮馨园
                            (城关区/火车站)"
整租,1室0厅1卫,43,33,0,0,0,0,1,高,北,精装修,和政路东街189号,,电视,,,,热水器,暖气,房源编号 331449766,2600,"仁恒国际
                            (城关区/火车站)"
整租,1室2厅1卫,58,33,0,0,0,0,1,低,暂无,精装修,和政路东街189号,床,电视,冰箱,,空调,热水器,暖气,房源编号 330857237,3700,"仁恒国际
                            (城关区/火车站)"
整租,1室1厅1卫,45,5,1,0,0,0,0,高,南北,中装修,火车站西路,床,电视,,,空调,热水器,,房源编号 331194910,1800,"春蕾小区
                            (城关区/五泉广场)"
