出租方式,户型,建筑面积,层数,楼层,朝向,装修,地址,床,电视,冰箱,洗衣机,空调,热水器,标题,价格
整租,2室1厅1卫,70,8,中层,暂无,3,秦安路420-428号,1,1,1,1,1,1,房源编号 309556058,2400
整租,4室1厅1卫,230,28,低层,8,3,张掖路中段(中央广场东南角),1,1,1,1,1,1,房源编号 309556074,16000
整租,2室2厅1卫,93,33,高层,6,4,兰新市场118号楼旁,1,1,0,0,0,1,房源编号 309647246,3600
整租,1室1厅1卫,65,8,高层,8,2,武都路212号,1,1,0,0,1,1,房源编号 309299154,1900
整租,1室1厅1卫,45,10,中层,8,3,新武都路7号,1,1,1,0,0,1,房源编号 309298913,1300
整租,2室2厅1卫,110,25,高层,8,3,东岗东路514号原6413厂(东岗东路1008-10,1,1,1,1,1,1,房源编号 309376908,2400
整租,2室1厅1卫,73,10,中层,暂无,4,盘旋路锦江阳光大酒店后面,1,1,1,1,1,1,房源编号 309383240,2300
整租,2室1厅1卫,90,6,高层,8,3,拱星墩加油站对面,1,1,1,1,1,1,房源编号 309372997,1700
整租,3室2厅2卫,124,19,高层,10,3,东岗东路514号原6413厂(东岗东路1008-10,1,1,1,1,1,1,房源编号 309445023,3200
整租,2室2厅1卫,135,28,中层,5,2,雁滩路3585号,0,0,0,0,0,0,房源编号 309530945,4600
整租,2室2厅1卫,86,8,中层,10,4,段家滩路1265-1517号，五里铺桥北(原灯泡厂院,1,1,0,0,0,1,房源编号 309644563,2300
整租,2室2厅1卫,100,28,低层,8,2,一只船北街南侧（东临华润万家）,0,0,0,0,1,1,房源编号 307277060,4000
整租,2室2厅1卫,66,25,中层,7,4,东岗东路514号原6413厂(东岗东路1008-10,1,1,1,1,1,1,房源编号 309446289,2200
整租,3室2厅2卫,210,28,高层,暂无,3,张掖路中段(中央广场东南角),1,1,1,1,1,1,房源编号 309556186,12000
整租,2室1厅1卫,100,28,低层,8,3,张掖路中段商业步行街（隍庙口）,1,1,1,1,1,1,房源编号 309556117,4800
整租,2室1厅1卫,112,27,中层,暂无,3,静宁路十字澳兰名门东侧,1,1,0,0,1,1,房源编号 309299450,3500
整租,3室2厅1卫,150,25,高层,暂无,3,庆阳路9号,1,1,0,0,1,1,房源编号 309299272,5300
整租,1室1厅1卫,45,8,中层,暂无,2,武都路与永昌路十字附近,1,1,0,0,1,1,房源编号 309299287,1600
整租,2室2厅1卫,95,8,高层,10,4,段家滩路581-591号,1,1,1,1,1,1,房源编号 309338428,2500
整租,3室2厅2卫,160,8,中层,10,3,贡元巷53-59号,1,1,0,0,1,1,房源编号 309383695,4500
整租,3室1厅1卫,118,28,低层,10,3,张掖路中段(中央广场东南角),1,1,0,0,1,1,房源编号 309368468,5500
整租,2室1厅1卫,99,33,低层,10,3,庆阳路91号，庆阳路交静宁路十字,1,1,0,0,1,1,房源编号 309369437,4000
整租,4室1厅1卫,183,28,中层,8,3,静宁路158号,1,1,0,0,1,1,房源编号 309299831,10000
整租,2室2厅2卫,200,18,中层,8,3,张掖路1号、2号,1,1,0,0,1,1,房源编号 309431063,13000
整租,2室2厅1卫,102,8,中层,10,3,静宁路311-313号,0,1,0,0,0,1,房源编号 309161473,2200
整租,3室2厅1卫,150,32,中层,8,2,兰州市东岗西路469号,0,0,0,0,1,0,房源编号 307382963,7300
整租,2室2厅1卫,130,24,中层,暂无,3,静宁路327-345号,1,1,1,1,1,1,房源编号 309556201,4200
整租,2室1厅1卫,88,8,高层,3,3,秦安路420-428号,1,1,0,0,1,1,房源编号 309161374,2500
整租,2室2厅1卫,104,32,中层,8,4,雁滩高新区(联合大学向东200米),1,1,1,1,0,0,房源编号 309620019,3000
整租,1室2厅1卫,160,10,低层,暂无,3,静宁路327-345号,1,1,0,0,1,1,房源编号 309431140,5200
整租,2室0厅1卫,50,10,中层,暂无,3,新武都路7号,1,1,0,0,1,0,房源编号 309431092,1700
整租,4室2厅2卫,147,29,中层,8,3,"东方红广场电信局北,金昌北路25号",1,1,0,0,1,1,房源编号 309431109,5900
整租,2室2厅1卫,110,8,中层,暂无,3,箭道巷19号,1,1,0,0,1,1,房源编号 309556642,3200
整租,2室1厅1卫,85,31,高层,暂无,3,解放门立交桥西侧（雷坛河以东）,1,1,0,0,1,1,房源编号 309632244,3300
整租,2室1厅1卫,60,8,高层,8,4,东城壕30-38号,1,1,1,1,1,1,房源编号 309466970,1700
整租,1室0厅1卫,41,33,低层,1,3,和政路东街189号,1,1,1,1,1,1,房源编号 309628938,2700
整租,1室0厅1卫,46,25,高层,7,4,火车站广场向西200米,1,1,1,1,1,1,房源编号 309628877,2500
整租,1室0厅1卫,41,33,低层,1,4,和政路东街189号,1,1,1,1,0,1,房源编号 309628843,2800
整租,1室1厅1卫,43,33,高层,1,3,和政路东街189号,1,1,0,0,1,1,房源编号 309628815,2700
整租,1室0厅1卫,41,25,高层,1,3,火车站广场向西200米,1,1,1,1,0,1,房源编号 309628697,2500
整租,8室4厅4卫,660,18,中层,10,4,天水北路3111号(省政协办公楼北侧),1,1,0,0,1,1,房源编号 309578446,36000
整租,2室2厅1卫,100,28,中层,10,4,雁宁路240-250号,1,1,0,0,1,1,房源编号 309516271,3100
整租,3室2厅3卫,230,43,低层,10,4,天水北路与雁滩路交汇处,1,1,0,0,1,1,房源编号 309475253,16000
整租,3室2厅2卫,140,28,中层,10,3,团结路1号旁,1,1,0,0,1,1,房源编号 309475150,5000
整租,1室0厅1卫,41,33,中层,暂无,4,和政路东街189号,1,1,1,1,0,1,房源编号 309626225,2550
整租,1室0厅1卫,41,33,高层,1,3,和政路东街189号,1,1,0,1,1,1,房源编号 309180843,2800
整租,1室1厅1卫,48,34,中层,8,4,和政路东街189号,0,1,0,0,0,1,房源编号 309082319,2650
整租,2室2厅1卫,107,8,高层,8,2,火车站西路力行新村3号,1,1,0,0,1,1,房源编号 309100382,2600
整租,1室2厅1卫,44,33,中层,8,4,和政路东街189号,1,1,1,1,0,1,房源编号 309082253,2950
整租,2室2厅1卫,100,32,高层,暂无,3,铁路局邮电大楼附近,1,1,0,0,1,1,房源编号 309343772,3800
整租,1室0厅1卫,41,25,高层,暂无,3,火车站广场向西200米,1,1,0,0,1,1,房源编号 309333050,2000
整租,3室1厅1卫,118,28,低层,5,3,张掖路中段(中央广场东南角),1,1,0,0,1,1,房源编号 309408115,5500
整租,2室2厅1卫,90,6,高层,10,3,滩尖子84号,1,1,0,0,1,1,房源编号 309511204,2500
整租,2室2厅2卫,130,28,高层,8,4,团结路1号旁,1,1,0,0,1,1,房源编号 309508361,4500
整租,2室1厅1卫,67,28,中层,8,4,雁北路2728号,1,1,0,0,1,1,房源编号 309512411,3000
整租,1室1厅1卫,45,6,高层,10,2,火车站西路381号,1,1,0,0,1,1,房源编号 309181478,1300
整租,2室2厅1卫,100,32,高层,3,3,铁路局邮电大楼附近,1,1,0,0,1,1,房源编号 309184228,4000
整租,2室2厅1卫,90,30,中层,9,4,火车站西路5号,1,1,0,0,1,1,房源编号 309184051,3600
整租,2室1厅1卫,76,8,中层,10,3,铁路新村东街342号,1,1,0,0,1,1,房源编号 309184264,2700
整租,3室2厅1卫,130,18,高层,10,3,雁滩路2597号，雁滩路安全厅对面,1,1,0,0,1,1,房源编号 309475675,3200
整租,5室2厅5卫,260,45,中层,10,5,天水北路与雁滩路交汇处,1,1,0,0,1,1,房源编号 309499451,18000
整租,2室1厅1卫,67,28,中层,8,4,雁北路2728号,1,1,0,0,1,1,房源编号 309475765,3000
整租,1室0厅1卫,41,33,中层,1,4,和政路东街189号,1,1,1,1,0,1,房源编号 309514880,2100
整租,3室1厅1卫,60,8,高层,10,4,黄河沿1-5,1,1,1,1,1,1,房源编号 308743521,2300
整租,1室1厅1卫,70,7,中层,9,4,秦安路420-428号,1,1,1,1,1,1,房源编号 308648906,1900
整租,2室1厅1卫,100,7,高层,10,4,城关区金塔巷41号,1,1,1,1,1,1,房源编号 309307888,2500
整租,2室1厅1卫,98,32,高层,2,4,西关什字临夏路187号 （静安大厦东侧）,1,1,1,1,1,1,房源编号 307539085,4000
整租,1室1厅1卫,50,10,高层,8,3,武都路98号,1,1,1,1,1,1,房源编号 307342580,1700
整租,1室1厅1卫,45,9,高层,8,3,陈家湾子10-36号,1,1,1,1,1,1,房源编号 307552362,1400
整租,2室1厅1卫,130,12,高层,8,2,兰新市场118号楼旁,1,1,0,0,0,1,房源编号 301923009,4000
整租,2室1厅1卫,100,12,高层,8,2,兰新市场118号楼旁,1,0,0,1,0,1,房源编号 301972330,3000
整租,2室1厅1卫,80,6,中层,9,2,九洲中路240号,1,1,0,0,0,1,房源编号 309574331,1700
整租,2室1厅1卫,68,8,高层,10,3,九州中路142号,1,1,0,1,1,1,房源编号 309573660,1700
整租,2室2厅1卫,99,33,低层,暂无,3,庆阳路91号，庆阳路交静宁路十字,1,1,0,0,1,1,房源编号 309560546,4000
整租,1室1厅1卫,55,7,高层,8,3,城关区秦安路144号,1,1,1,1,1,1,房源编号 309556818,1700
整租,1室1厅1卫,43,9,中层,8,2,永昌路243号附近,1,0,0,0,0,1,房源编号 309556797,1600
整租,2室1厅1卫,65,8,高层,9,4,和平新村138-226号,1,1,0,1,0,1,房源编号 308440064,1800
整租,2室1厅1卫,78,8,高层,9,3,和平新村138-226号,1,1,1,1,0,0,房源编号 308676051,1800
整租,2室1厅1卫,70,8,高层,9,3,和平新村138-226号,1,1,0,1,0,0,房源编号 308433704,1800
整租,2室1厅1卫,62,5,高层,9,4,闵家桥196-198号,1,0,1,1,0,1,房源编号 308059764,2100
整租,2室2厅1卫,100,6,高层,10,4,城关区闵家桥215-231,1,0,1,1,1,0,房源编号 309397539,2600
整租,2室2厅1卫,96,34,中层,10,4,静宁南路61-65号,1,1,1,1,0,0,房源编号 308675338,5000
整租,3室1厅1卫,92,6,高层,10,4,城关区闵家桥215-231,1,1,0,1,0,0,房源编号 308434859,2200
整租,2室1厅1卫,72,8,高层,9,4,城关区闵家桥215-231,1,1,0,1,0,1,房源编号 309401762,1800
整租,3室1厅1卫,82,6,高层,9,3,城关区闵家桥215-231,1,1,0,1,0,0,房源编号 308439550,2200
整租,2室2厅1卫,80,20,高层,6,4,火车站西路535号,1,1,1,1,0,1,房源编号 309152339,3400
整租,3室1厅1卫,89,8,中层,9,4,城关区闵家桥215-231,0,0,0,0,0,0,房源编号 309416111,2200
整租,2室1厅1卫,62,8,中层,9,3,闵家桥196-198号,1,1,1,1,0,1,房源编号 308438788,1700
整租,2室1厅1卫,68,8,中层,10,4,闵家桥196-198号,1,1,1,1,0,0,房源编号 308928284,1800
整租,2室1厅1卫,62,5,高层,9,3,金昌南路，广场西口,1,0,1,0,0,1,房源编号 309417343,1700
整租,3室1厅1卫,89,6,高层,9,3,城关区闵家桥215-231,1,0,1,1,0,0,房源编号 309155679,2200
整租,2室1厅1卫,72,8,高层,9,3,和平新村138-226号,1,0,0,1,0,0,房源编号 309415783,2000
整租,2室2厅1卫,104,20,低层,10,4,火车站西路535号,1,1,1,1,0,1,房源编号 309416730,3500
整租,3室1厅1卫,96,6,高层,9,4,闵家桥137号,1,0,1,1,0,1,房源编号 308133743,2200
整租,2室1厅1卫,58,6,中层,10,4,城关区闵家桥215-231,1,0,1,0,0,0,房源编号 308440374,1600
整租,4室2厅2卫,230,8,高层,10,5,城关区雁西路1382号,1,1,1,1,1,1,房源编号 309490346,17000
整租,2室1厅1卫,65,8,高层,4,3,东岗镇路203号,1,1,0,0,1,1,房源编号 308948877,1800
整租,2室1厅1卫,88,8,高层,3,3,静宁路327-345号,1,1,1,1,1,1,房源编号 308993098,2500
整租,1室1厅1卫,65,8,高层,4,3,临夏路135-139,1,1,1,1,1,1,房源编号 308429928,1600
整租,2室1厅1卫,78,8,中层,9,3,通渭路50号,1,1,0,0,1,1,房源编号 308427240,3500
整租,2室2厅1卫,126,21,高层,9,3,兰州市城关区白银路199号,1,1,0,0,1,1,房源编号 309494732,4100
整租,2室2厅1卫,92,18,中层,10,4,雁滩大桥向东，鸿运润园东侧,1,1,1,1,1,1,房源编号 306705391,3500
整租,2室2厅1卫,100,7,中层,10,4,雁滩大桥向东800米,1,1,1,1,1,1,房源编号 306705184,3500
整租,1室1厅1卫,45,9,低层,1,4,武都路185号,1,1,0,0,1,1,房源编号 306705340,2200
整租,2室0厅1卫,50,8,低层,7,2,城关区闵家桥161-175号,1,1,0,0,1,1,房源编号 309551017,1900
整租,4室2厅3卫,200,25,低层,10,4,城关区青白石街,1,1,0,0,1,1,房源编号 309381220,2700
整租,3室2厅1卫,103,29,中层,8,4,城关区青白石街,1,1,0,0,1,1,房源编号 309380781,2600
整租,1室1厅1卫,44,30,低层,5,4,城关区青白石街,1,1,0,0,1,1,房源编号 309381759,1500
整租,2室2厅1卫,80,26,低层,8,4,城关区青白石街,1,1,0,0,1,1,房源编号 309380403,2400
整租,2室1厅2卫,70,8,高层,8,3,东岗东路1556-1652号,1,1,1,1,0,1,房源编号 309337096,1900
整租,1室1厅1卫,51,30,中层,8,4,东岗东路1169号（焦家湾路和东岗东路十字）,1,1,0,0,0,1,房源编号 309337040,2200
整租,2室1厅1卫,95,26,低层,10,3,城关区青白石街,1,1,0,0,1,1,房源编号 309339486,2200
整租,1室1厅1卫,55,9,中层,10,4,武都路98号,1,1,0,0,1,1,房源编号 308198502,1800
整租,1室1厅1卫,54,7,高层,9,3,段家滩商学院东500米欣欣茗园对面,1,1,0,0,0,1,房源编号 309661507,1600
整租,2室1厅1卫,70,8,高层,9,3,静宁路158号,0,0,0,0,0,1,房源编号 309652447,2400
整租,2室1厅1卫,88,8,高层,8,4,东岗东路1556-1652号,1,1,1,1,1,1,房源编号 309336352,2000
整租,3室1厅1卫,100,21,中层,10,3,东岗东路1726-1738号,1,1,0,0,1,1,房源编号 309645805,2000
整租,2室2厅1卫,80,8,中层,8,3,嘉峪关南路351-379号,1,1,0,0,1,1,房源编号 309641786,2000
整租,2室2厅2卫,100,8,高层,10,3,南昌路73-111号,1,0,1,0,0,1,房源编号 309641373,2500
整租,2室1厅1卫,60,6,低层,暂无,2,嘉峪关西路14～76号,1,1,0,0,1,1,房源编号 309633138,1900
整租,2室2厅1卫,105,34,高层,8,3,区东岗东路（兰州三十二中对面）,1,1,0,0,0,1,房源编号 309336400,2300
整租,2室2厅1卫,105,12,低层,8,4,兰州市城关区二热十字嘉峪关路9号,1,1,0,0,1,1,房源编号 309623812,2800
整租,3室1厅2卫,130,28,低层,10,4,东部（和亚太城市花园相邻），东部市场对面,0,0,0,0,0,0,房源编号 308419334,3700
整租,2室1厅1卫,104,7,中层,10,3,鱼池口批发市场西面，段家滩555号,1,1,1,1,0,1,房源编号 308328584,2800
整租,3室2厅1卫,130,6,高层,10,2,雁北路天庆莱茵小镇后面,1,0,0,1,0,1,房源编号 308327760,3000
整租,1室2厅1卫,70,8,低层,8,4,苏家滩541号,1,1,1,1,1,1,房源编号 309336899,2200
整租,3室2厅2卫,140,26,低层,10,4,盐场路7号,1,1,1,1,1,1,房源编号 306649006,4500
整租,2室1厅1卫,96,32,中层,10,2,城关区草场街街道砂坪村114号,1,0,0,0,0,0,房源编号 306648922,2200
整租,2室2厅1卫,94,6,高层,10,4,大砂坪佛慈大街228号,1,1,1,1,1,1,房源编号 306338716,3000
整租,2室2厅1卫,110,14,低层,10,4,佛慈大街303-305号,1,0,0,0,0,0,房源编号 306648942,2500
整租,2室2厅1卫,107,11,低层,8,3,嘉峪关北路116-142号,1,1,0,0,1,1,房源编号 309617634,2800
整租,2室1厅1卫,75,8,中层,8,3,南河路1582-1622号,1,1,1,1,1,1,房源编号 309336940,2300
整租,2室1厅1卫,97,30,高层,8,2,城关区段家滩雁儿湾,1,1,1,1,0,1,房源编号 309038970,1800
整租,2室1厅1卫,70,8,高层,8,2,五泉西路20-38号,0,0,0,0,1,1,房源编号 309605245,2200
整租,2室1厅1卫,90,10,中层,8,3,段家滩路1265-1517号，五里铺桥北(原灯泡厂院,1,1,1,1,1,1,房源编号 309601788,2400
整租,2室1厅1卫,86,9,高层,8,3,段家滩路740-792号,1,1,1,1,1,1,房源编号 309601721,1900
整租,2室2厅2卫,126,30,中层,8,2,兰州市城关区段家滩路450号,0,0,0,0,0,1,房源编号 309593654,2800
整租,2室2厅1卫,80,8,高层,10,2,铁路新村东街782-1234号,1,0,0,0,0,1,房源编号 306648838,1900
整租,2室2厅1卫,94,32,中层,5,2,大砂坪157号(大坡顶十字向南100米),0,0,0,0,0,1,房源编号 306648812,2300
整租,2室2厅1卫,110,19,低层,9,2,佛慈大街303-305号,0,0,0,0,0,1,房源编号 306648877,2300
整租,3室2厅1卫,120,32,中层,2,2,城关区草场街街道砂坪村114号,0,0,0,0,0,1,房源编号 306648810,2600
整租,2室1厅1卫,85,9,高层,1,2,大沙坪佛慈大街119号,1,1,1,1,0,1,房源编号 306648879,2000
整租,1室1厅1卫,50,32,高层,1,2,大砂坪157号(大坡顶十字向南100米),1,1,0,0,0,1,房源编号 306648978,2200
整租,2室1厅1卫,55,6,高层,10,2,段家滩1188号,1,0,0,0,0,0,房源编号 309591421,1300
整租,2室2厅1卫,96,33,高层,8,3,兰州市城关区段家滩路450号,0,0,0,0,0,0,房源编号 309589795,2500
整租,3室2厅2卫,140,14,低层,10,4,雁兴路3101号,1,1,1,1,1,1,房源编号 306221144,3500
整租,2室1厅1卫,85,8,中层,10,3,嘉峪关东路665-731号 ，二热十字向南300米,1,1,0,0,1,1,房源编号 308433182,2200
整租,3室2厅1卫,167,24,高层,5,3,庆阳路219号,1,0,0,0,1,1,房源编号 308233531,5500
整租,2室1厅1卫,80,8,高层,10,2,嘉峪关东路，二热十字往东一百米,1,1,0,0,1,1,房源编号 308433338,1800
整租,2室1厅1卫,70,8,低层,9,4,嘉峪关南路665号,1,0,0,0,1,1,房源编号 308433265,1800
整租,2室1厅1卫,60,6,低层,10,2,嘉峪关东路131—137路,1,1,0,0,1,1,房源编号 308433241,1700
整租,2室1厅1卫,80,8,中层,6,4,南滨河东路349-401号,1,1,1,1,1,1,房源编号 309562598,2100
整租,2室1厅1卫,75,4,高层,10,2,嘉峪关西路399号东,1,1,1,1,0,1,房源编号 309071738,1900
整租,2室2厅1卫,106,25,高层,8,4,火车站广场向西200米,1,1,0,0,0,1,房源编号 309560781,3600
整租,1室1厅1卫,50,8,中层,8,3,静宁路北口,1,1,0,0,1,1,房源编号 309557218,1800
整租,2室1厅1卫,56,6,高层,暂无,3,火车站西路198-260,1,1,0,0,1,1,房源编号 308267380,2800
整租,1室1厅1卫,76,12,中层,10,4,西关什字兰医二院东,1,1,1,1,1,1,房源编号 630009,500
整租,2室2厅1卫,80,8,中层,8,5,闵家桥137号,1,0,0,0,0,1,房源编号 628989,2800
整租,2室0厅0卫,50,4,高层,10,2,定西路,1,1,1,1,0,0,房源编号 627155,1500
整租,2室1厅1卫,60,6,高层,8,2,"东岗东路68-182号,雁儿湾东岗世纪新村旁",1,0,0,0,0,1,房源编号 625914,1600
整租,2室1厅1卫,90,8,低层,6,4,小沟头,0,0,0,0,0,1,房源编号 630002,3200
整租,2室1厅1卫,65,6,低层,8,2,"宋家滩99号,雁滩路",0,0,0,0,0,1,房源编号 629588,2200
整租,2室1厅1卫,65,6,低层,10,4,"宋家滩99号,雁滩路",0,0,0,0,0,1,房源编号 629703,2100
整租,1室1厅1卫,42,13,高层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 629166,1600
整租,1室1厅1卫,72,16,中层,10,4,邓家巷12-22号,1,1,1,1,1,1,房源编号 629987,600
整租,1室0厅1卫,40,8,高层,1,2,永昌路243号*,1,0,0,0,0,1,房源编号 629439,1200
整租,1室1厅1卫,65,20,低层,10,4,嘉峪关西路82号-154号,1,1,1,1,1,1,房源编号 629980,500
整租,2室1厅1卫,99,11,中层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 629968,1250
整租,2室1厅1卫,90,23,低层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 629967,1280
整租,2室1厅1卫,55,33,低层,8,3,鱼池子79号,1,0,0,0,0,1,房源编号 629962,2700
整租,2室2厅1卫,100,32,中层,10,2,"雁北路(西邻辰北花园、鸿运润园,与天庆莱茵小镇相邻)",1,1,1,0,0,1,房源编号 629952,3400
整租,2室1厅1卫,50,6,高层,10,2,旧大路84号,1,1,0,1,0,1,房源编号 629335,2000
整租,2室1厅1卫,70,8,高层,6,4,兰州市东岗西路,1,0,0,0,0,1,房源编号 624386,2500
整租,2室1厅1卫,70,8,高层,8,2,兰州市东岗东路,1,0,0,0,0,1,房源编号 624522,2500
整租,2室2厅1卫,75,6,高层,10,2,庆阳大厦南侧,1,0,0,0,1,1,房源编号 629943,2500
整租,1室1厅1卫,62,22,中层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 629933,800
整租,1室1厅1卫,53,24,中层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 629929,750
整租,2室1厅1卫,83,28,中层,不限,2,雁滩科教城旁,0,0,0,0,0,1,房源编号 629927,2200
整租,2室1厅1卫,83,28,中层,不限,2,雁滩科教城旁,0,0,0,0,0,1,房源编号 629926,2200
整租,3室0厅1卫,75,6,高层,10,2,城关区庙滩子,1,0,0,0,0,1,房源编号 625766,1600
整租,1室1厅1卫,56,14,中层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 629923,570
整租,3室0厅1卫,75,6,高层,10,2,富星家居广场内,1,0,0,0,0,0,房源编号 628404,1600
整租,1室1厅1卫,51,8,高层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 629916,660
整租,2室1厅1卫,97,15,高层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 629915,1300
整租,1室0厅1卫,40,8,高层,1,2,永昌路243号*,1,0,0,0,0,1,房源编号 629441,1200
整租,3室2厅1卫,151,27,中层,8,2,西关十字沛丰大厦东塔,0,0,0,0,0,0,房源编号 623906,7500
整租,2室1厅1卫,65,6,低层,8,2,"宋家滩99号,雁滩路",0,0,0,0,0,1,房源编号 629169,2300
整租,1室1厅1卫,55,16,高层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 629871,780
整租,2室1厅1卫,78,20,高层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 629865,950
整租,2室1厅1卫,55,6,高层,8,2,徐家巷30-46号,1,0,1,0,0,0,房源编号 623866,1800
整租,2室1厅1卫,96,19,低层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 629862,1300
整租,3室2厅1卫,122,19,低层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 629856,1250
整租,1室1厅1卫,51,12,高层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 629853,660
整租,1室1厅1卫,51,22,低层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 629852,660
整租,3室2厅1卫,115,17,高层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 629849,1400
整租,3室1厅1卫,80,6,高层,10,2,嘉峪关西路776号,0,0,0,0,0,0,房源编号 629848,2100
整租,2室1厅1卫,96,20,高层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 629846,1200
整租,1室1厅1卫,98,20,低层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 628127,750
整租,3室2厅1卫,112,16,中层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 628189,1350
整租,2室1厅1卫,98,24,高层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 628188,1280
整租,2室1厅1卫,98,24,高层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 628187,1280
整租,1室1厅1卫,52,15,高层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 628177,700
整租,1室1厅1卫,98,14,高层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 628181,750
整租,2室1厅1卫,97,21,低层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 629842,1380
整租,2室1厅1卫,97,24,低层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 628184,1200
整租,1室1厅1卫,57,20,低层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 628183,580
整租,3室2厅1卫,115,11,中层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 628186,1400
整租,2室1厅1卫,97,19,高层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 628179,1380
整租,3室2厅1卫,112,20,中层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 629840,1350
整租,2室1厅1卫,98,25,中层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 629837,1280
整租,2室1厅1卫,80,9,高层,10,3,庆阳路430号,1,0,0,1,0,1,房源编号 629836,2600
整租,1室1厅1卫,59,20,中层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 629829,770
整租,1室1厅1卫,62,25,中层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 629828,800
整租,2室1厅1卫,78,9,中层,9,2,贡元巷,0,0,0,0,0,1,房源编号 607287,2300
整租,2室1厅1卫,78,9,中层,9,2,贡元巷,0,0,0,0,0,1,房源编号 607660,2300
整租,2室1厅1卫,78,9,中层,9,2,贡元巷,0,0,0,0,0,1,房源编号 608988,2300
整租,3室2厅1卫,115,18,高层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 629826,1400
整租,2室1厅1卫,105,22,低层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 629823,1400
整租,2室1厅1卫,54,7,高层,10,4,铁路新村东街1200-1376,0,0,0,0,1,1,房源编号 629822,2200
整租,2室1厅1卫,97,9,低层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 629820,1200
整租,1室1厅1卫,50,8,高层,5,2,兰州城关区,1,0,0,0,0,0,房源编号 619211,1300
整租,1室1厅1卫,57,13,高层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 629819,580
整租,1室1厅1卫,98,16,中层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 629816,750
整租,1室1厅1卫,52,18,高层,10,4,兰州城关区,1,1,1,1,1,1,房源编号 629814,700
整租,2室1厅1卫,88,18,高层,8,4,火车站西路580号,0,0,0,0,0,0,房源编号 624510,3800
整租,2室2厅2卫,130,30,低层,10,2,北滨河路会展**,0,0,0,0,0,1,房源编号 629810,4000
整租,2室1厅1卫,86,8,高层,10,4,兰州市城关区雁滩安居小区,1,1,1,1,0,1,房源编号 629779,2500
整租,2室2厅1卫,72,28,低层,8,2,火车站西路3号,0,0,1,1,0,0,房源编号 626105,2700
整租,2室2厅1卫,72,28,低层,5,4,火车站西路5号,0,0,1,1,0,0,房源编号 629325,2700
整租,1室1厅1卫,50,8,中层,8,2,南滨河东路198-476号,1,0,0,0,0,0,房源编号 629808,1200
整租,1室0厅0卫,10,3,高层,8,2,南河道电影机械厂,0,1,1,1,1,1,房源编号 626402,350
整租,2室2厅1卫,93,34,中层,暂无,4,段家滩路528号,1,1,1,1,1,1,房源编号 309532669,2800
整租,1室1厅1卫,54,26,中层,暂无,4,雁北路2728号,0,0,0,0,1,1,房源编号 309543497,2300
整租,2室1厅1卫,72,6,低层,8,4,宋家滩99号,0,0,0,0,1,1,房源编号 309543413,2800
整租,2室2厅1卫,90,30,中层,8,4,火车站西路5号,1,1,0,0,1,1,房源编号 309538168,3600
整租,2室2厅1卫,99,33,低层,10,3,庆阳路91号，庆阳路交静宁路十字,1,1,0,0,1,1,房源编号 309536172,4000
整租,2室2厅1卫,76,7,中层,10,4,雁滩路2618号,1,0,0,0,0,1,房源编号 307258294,2200
整租,2室1厅1卫,78,7,中层,10,3,兰州市城关区雁滩路2848号,1,1,0,1,0,1,房源编号 306897904,2400
整租,2室2厅1卫,104,8,高层,9,2,嘉峪关东路131—137路,1,1,1,1,1,1,房源编号 309525487,2000
整租,4室2厅2卫,170,33,低层,10,2,雁兴路3330号附近,0,0,0,0,0,1,房源编号 306958958,3800
