出租方式,户型,建筑面积,层数,楼层,朝向,装修,地址,床,电视,冰箱,洗衣机,空调,热水器,标题,价格
整租,3室1厅1卫,80,6,高层,暂无,3,柏道路小学附近,1,0,0,0,0,1,房源编号 309537762,2000
整租,1室1厅1卫,65,8,高层,8,3,兰州市城关区静安门外17号,1,1,0,0,1,1,房源编号 309537124,1600
整租,2室1厅1卫,55,6,高层,10,3,南关鼓楼巷57号,1,0,0,0,1,1,房源编号 309523189,2000
整租,2室1厅1卫,100,28,中层,10,3,张掖路中段(中央广场东南角),1,0,0,0,1,1,房源编号 309523303,4800
整租,1室1厅1卫,48,9,中层,暂无,3,贡元巷53-59号,0,0,0,0,0,0,房源编号 309537905,1700
整租,2室2厅1卫,120,6,高层,暂无,4,城关区酒泉路135-159号,1,0,1,1,0,1,房源编号 309536906,3500
整租,3室2厅1卫,126,8,中层,8,4,城关区秦安路144号,1,0,0,0,0,1,房源编号 309536133,5000
整租,2室0厅1卫,50,6,高层,8,3,西关上沟45号,1,1,0,0,1,1,房源编号 309535752,1500
整租,2室1厅1卫,106,28,低层,8,3,静宁路199-217号,1,1,0,0,1,1,房源编号 309535701,3800
整租,2室1厅1卫,112,27,中层,暂无,3,静宁路十字澳兰名门东侧,0,0,0,0,1,1,房源编号 309537966,3100
整租,2室1厅1卫,100,33,中层,8,3,兰州市城关区永昌路295号,1,1,0,0,1,1,房源编号 309535616,5000
整租,1室1厅1卫,40,8,高层,暂无,2,静宁路十字澳兰名门东侧,1,1,0,0,1,1,房源编号 309536276,1400
整租,2室1厅1卫,78,30,高层,7,2,中山路131-133号,1,0,0,0,0,0,房源编号 308172773,2800
整租,3室1厅1卫,100,6,高层,10,3,雁滩路 2219号,1,1,1,1,1,1,房源编号 307220393,2300
整租,2室2厅1卫,127,43,中层,5,4,城关区中林路35-41号,1,0,0,0,1,1,房源编号 307646652,9000
整租,3室2厅1卫,150,9,中层,8,3,静宁路199-217号,1,1,1,1,1,1,房源编号 309669379,4800
整租,1室1厅1卫,58,29,低层,1,4,雁宁路395号,1,1,0,0,1,1,房源编号 306918875,3000
整租,2室1厅1卫,60,8,高层,8,4,东城壕30-38号,1,1,1,1,1,1,房源编号 309660696,1800
整租,2室1厅1卫,60,8,高层,暂无,4,东城壕30-38号,1,1,1,1,1,1,房源编号 309639227,1700
整租,2室2厅2卫,89,8,中层,10,3,滩尖子116号,1,1,0,0,1,1,房源编号 308783191,2000
整租,1室1厅1卫,40,8,中层,9,3,雁南路1541-2071号,1,1,0,0,1,1,房源编号 308777651,1600
整租,3室2厅2卫,155,31,低层,10,3,团结路1号旁,1,1,1,0,1,1,房源编号 306920257,4500
整租,1室2厅1卫,44,33,中层,暂无,4,和政路东街189号,1,1,1,1,0,1,房源编号 309575247,2950
整租,1室1厅1卫,43,33,高层,暂无,3,和政路东街189号,1,1,0,0,1,1,房源编号 309642451,2700
整租,2室2厅1卫,97,33,高层,暂无,3,和政路东街189号,1,1,0,0,1,1,房源编号 309648555,5000
整租,2室1厅1卫,68,8,高层,10,3,九州中路142号,1,1,0,0,0,1,房源编号 309514780,1700
整租,2室2厅1卫,99,8,高层,10,3,九洲中路240号,1,1,0,0,0,1,房源编号 309516276,1700
整租,2室1厅1卫,70,8,高层,8,2,九洲中路240号,0,1,0,0,0,0,房源编号 309517938,1000
整租,2室1厅1卫,76,24,中层,10,3,儿童公园西侧,0,1,0,0,0,1,房源编号 309520991,2000
整租,2室1厅1卫,67,8,中层,9,3,九洲大道225号,1,1,0,0,0,1,房源编号 309522630,1400
整租,1室0厅1卫,41,33,中层,1,4,和政路东街189号,1,1,1,1,0,1,房源编号 309655812,2100
整租,2室1厅1卫,79,33,中层,9,3,城关区火车站东路438-458号,1,1,0,0,0,1,房源编号 309655960,2800
整租,2室1厅1卫,63,8,高层,10,3,铁路新村东街782-1234号,1,1,0,0,1,1,房源编号 309655872,1900
